query_id	doc_id	judgement	confidence	annotator_id	duration_ms
3	d3_7	1	0.54	User_2	46600
3	d3_8	0	0.82	User_4	67518
3	d3_8	0	0.81	User_3	55719
3	d3_8	0	0.93	User_2	46335
4	d4_1	3	0.82	User_1	31536
4	d4_1	3	0.97	User_3	88350
4	d4_1	3	0.89	User_4	17482
4	d4_2	3	0.85	User_2	25473
4	d4_2	3	0.68	User_5	65264
4	d4_2	2	0.55	User_0	33299
4	d4_3	1	0.57	User_1	65964
4	d4_3	1	0.96	User_3	26168
4	d4_3	0	0.67	User_0	41154
4	d4_4	0	0.96	User_1	41831
4	d4_4	0	0.8	User_3	37313
4	d4_4	1	0.87	User_2	21099
4	d4_5	0	0.99	User_2	27118
4	d4_5	0	0.84	User_5	46795
4	d4_5	0	0.82	User_3	68959
4	d4_6	0	0.88	User_2	87574
4	d4_6	0	0.85	User_5	69154
4	d4_6	0	0.9	User_3	82575
4	d4_7	0	0.93	User_5	55279
4	d4_7	2	0.82	User_1	51363
4	d4_7	2	0.87	User_2	50752
4	d4_8	1	0.93	User_4	61695
4	d4_8	0	0.92	User_1	51446
4	d4_8	1	0.91	User_5	12053
5	d5_1	2	0.96	User_2	54237
5	d5_1	2	0.89	User_5	40010
5	d5_1	2	0.96	User_1	34241
5	d5_2	3	0.99	User_5	42784
5	d5_2	3	0.84	User_0	15201
5	d5_2	2	0.9	User_2	21545
5	d5_3	0	0.85	User_3	12726
5	d5_3	1	0.54	User_5	79889
5	d5_3	0	0.85	User_1	27906
5	d5_4	0	0.99	User_3	70008
5	d5_4	1	0.97	User_1	83810
5	d5_4	1	0.98	User_5	74216
5	d5_5	0	0.95	User_3	80327
5	d5_5	1	0.93	User_2	47992
5	d5_5	1	0.82	User_1	49450
5	d5_6	0	0.98	User_1	22561
5	d5_6	0	0.83	User_2	62205
5	d5_6	0	0.94	User_4	20418
5	d5_7	0	0.84	User_3	67069
5	d5_7	0	0.62	User_5	14560
5	d5_7	0	0.99	User_2	51139
5	d5_8	1	0.84	User_3	69125
5	d5_8	1	0.81	User_5	56057
5	d5_8	1	0.94	User_1	73261
6	d6_1	2	0.92	User_1	15552
6	d6_1	3	0.93	User_4	29786
6	d6_1	2	0.84	User_0	46099
6	d6_2	1	0.95	User_3	61692
6	d6_2	3	0.67	User_2	45065
6	d6_2	2	0.95	User_1	18826
6	d6_3	1	0.69	User_2	38130
6	d6_3	1	0.85	User_1	74070
6	d6_3	1	0.84	User_0	45586
6	d6_4	0	0.99	User_2	26168
6	d6_4	0	0.99	User_1	87470
6	d6_4	1	0.88	User_0	37995
6	d6_5	0	0.94	User_0	51529
6	d6_5	0	0.96	User_4	86177
6	d6_5	0	0.87	User_1	68148
6	d6_6	0	0.8	User_5	67057
6	d6_6	1	0.82	User_2	59472
6	d6_6	1	0.94	User_0	69080
6	d6_7	0	0.97	User_1	89656
6	d6_7	2	0.85	User_4	23359
6	d6_7	2	0.55	User_2	72910
6	d6_8	0	0.81	User_4	54600
6	d6_8	0	0.9	User_5	58507
6	d6_8	0	0.87	User_3	48211
7	d7_1	3	0.85	User_4	65271
7	d7_1	2	0.91	User_0	43499
7	d7_1	2	0.93	User_1	76332
7	d7_2	3	0.94	User_3	52135
7	d7_2	3	0.91	User_0	67771
7	d7_2	3	0.89	User_4	52189
7	d7_3	1	0.95	User_2	36267
7	d7_3	1	0.9	User_1	89278
7	d7_3	2	0.67	User_0	50829
7	d7_4	0	0.8	User_1	82010
7	d7_4	0	0.85	User_2	19146
7	d7_4	0	0.94	User_5	28551
7	d7_5	0	0.91	User_5	73524
7	d7_5	1	0.89	User_3	36164
7	d7_5	0	0.85	User_0	74616
7	d7_6	1	0.81	User_0	19026
7	d7_6	0	0.83	User_5	85772
7	d7_6	0	0.82	User_3	44530
7	d7_7	1	0.58	User_0	70028
7	d7_7	2	0.7	User_4	52026
7	d7_7	1	0.95	User_3	39235
7	d7_8	0	0.83	User_5	34782
7	d7_8	0	0.83	User_1	65545
7	d7_8	1	0.94	User_2	73592
8	d8_1	3	0.94	User_2	71510
8	d8_1	3	0.94	User_0	46675
8	d8_1	3	0.89	User_1	83376
8	d8_2	2	0.83	User_1	52319
8	d8_2	3	0.89	User_5	51857
8	d8_2	1	0.6	User_2	76722
8	d8_3	0	0.62	User_3	15390
8	d8_3	1	0.93	User_0	87392
8	d8_3	1	0.63	User_4	47325
8	d8_4	1	0.9	User_4	69963
8	d8_4	0	0.84	User_0	88720
8	d8_4	1	0.93	User_1	76451
8	d8_5	1	0.87	User_0	25710
8	d8_5	0	0.87	User_3	76942
8	d8_5	0	0.93	User_2	64488
8	d8_6	0	0.86	User_4	54372
8	d8_6	0	0.99	User_0	64976
8	d8_6	0	0.93	User_3	83118
8	d8_7	1	0.92	User_3	77338
8	d8_7	0	0.54	User_5	83987
8	d8_7	1	0.59	User_0	75532
8	d8_8	0	0.86	User_0	13792
8	d8_8	1	0.82	User_5	26871
8	d8_8	1	0.99	User_1	32181
9	d9_1	2	0.97	User_3	73894
9	d9_1	3	0.89	User_2	30958
9	d9_1	2	0.84	User_4	78616
9	d9_2	3	0.67	User_5	56548
9	d9_2	3	0.56	User_1	51132
9	d9_2	1	0.59	User_0	75483
9	d9_3	0	0.67	User_2	43300
9	d9_3	0	0.96	User_5	17720
9	d9_3	2	0.64	User_3	61968
9	d9_4	0	0.83	User_3	89356
9	d9_4	0	0.97	User_1	69711
9	d9_4	0	0.91	User_5	71890
9	d9_5	0	0.81	User_0	46737
9	d9_5	0	0.92	User_1	64098
9	d9_5	0	0.97	User_3	81942
9	d9_6	0	0.92	User_3	42771
9	d9_6	0	1.0	User_2	23846
9	d9_6	1	1.0	User_5	25173
9	d9_7	1	0.96	User_3	50452
9	d9_7	2	0.83	User_1	81621
9	d9_7	0	0.96	User_2	34280
9	d9_8	0	0.9	User_1	88435
9	d9_8	0	0.85	User_0	45289
9	d9_8	1	0.85	User_3	13231
10	d10_1	3	0.89	User_3	57293
10	d10_1	3	0.93	User_2	67615
10	d10_1	3	0.89	User_1	51599
10	d10_2	2	0.91	User_1	87341
10	d10_2	3	0.56	User_3	63879
10	d10_2	3	0.97	User_4	18428
10	d10_3	1	0.87	User_4	36920
10	d10_3	2	0.94	User_3	29927
10	d10_3	1	0.63	User_2	52492
10	d10_4	0	0.82	User_3	50680
10	d10_4	0	0.95	User_0	35021
10	d10_4	0	0.83	User_2	82701
10	d10_5	0	0.85	User_2	75156
10	d10_5	0	0.95	User_4	56396
10	d10_5	0	0.89	User_5	21869
10	d10_7	2	0.88	User_1	46663
10	d10_7	1	0.93	User_5	46362
10	d10_7	0	0.69	User_3	26201
10	d10_8	0	0.92	User_5	85584
10	d10_8	0	0.98	User_1	41015
10	d10_8	0	0.93	User_3	72852
